,date,title,isEdited,userName,review,rating,Company_name
12,2020-08-18 17:33:44,Horrible.... rewards expire!!!!!,False,theclekticone,"I don’t leave reviews normally but this rewards app is horrible. Every time I get a reward ,it expires! Had a welcome reward, was about to claim it on the app, went to another app real quick to do something, came back and it disappeared! Said I had no reward to claim. Few weeks later, Had received my birthday reward for free dessert... said it it expired on the 18th of August, which means the 18th is the last day I can claim it....POOF!!! GONE!!!! Went to order food and claim my dessert & it wasn’t there. Not cool! They need to fix the reward claiming process. Other than, the app works well...but what’s the point if I can’t claim the reward that’s mine & that I’ve earned. Thumbs down!",1,Boston Market
13,2019-09-20 14:36:50,Easy to use and beneficial,False,T21#,"This app is not only easy to navigate, but also gives the user the ability to order ahead as well as take advantage of the rewards program. I enjoy using this app to order ahead and my food will be ready by the time I get to the store. So far have been able to get several deals using the rewards program which is a great bonus for something I was buying anyways!",5,Boston Market
14,2020-08-17 20:02:22,Five Stars,False,MissionTinyHome,Honestly Boston Market is one of my favorite restaurants to order from because of its kind employees and great customer service and of course the amazing food!!! I live in a school bus and in the middle of making it a tiny home so Boston Market gives me the sense of a great home cooked meal after a long day of work. Sitting down at home with family.. it reminds me of home.,5,Boston Market
15,2018-04-11 23:50:54,"Great, but always room for improvement",False,GooieGreen,"So far, the app seems rather stable but the menu layout could use some revisions. The app looks rather plain and the ordering process can be a little cumbersome. There also seem to be some UI bugs that change the screen size.

Overall, the transaction was easy and once you get the hang of their ordering process, it is simple to use. Some minor tweaks could go a long way to make this a better app.",4,Boston Market
16,2020-03-11 23:27:37,"Curbside, don’t think so!",False,Jules1056,This is not the first time I’ve ordered for curbside and had to go in to get my food since I waited 10 minutes after the time it said it would be ready. The food is good enough for fast food “home style”. The order was incorrect but tasted fine. The person behind the counter finally acknowledged my presence but was distracted by his earbuds. The food was ready but not brought to me. Yes I know this is totally a first world problem but don’t offer a service if you’re not going to provide it.,3,Boston Market
17,2018-10-09 21:27:52,Good food; most of the staff pleasant & helpful but not all.,False,IceBreaker2013,"I order on line and pick up for home consumption. The last 4 orders have included one of their full size desserts but for some reason the person fulfilling the order only put a slice in so I’ve had to correct them each time.

In general they get it right and the food is very good. An individual meal can provide more than one serving which is perfect for someone living alone but who works on an on-call basis.",4,Boston Market
18,2018-08-26 18:41:05,Need a cancel order button!,False,JHun876,I placed an order on the app and accidentally pressed pickup instead of delivery. I called the store and they said to call doordash who could switch my order to delivery. The doordash rep said they can’t do that on their end but they were nice enough to call the store and try to resolve the issue. The Boston Market rep ended up having to call their IT department to cancel my order and I had to place a new order. All of this back and forth could have been easily resolved with a cancel order button.,3,Boston Market
19,2019-12-10 15:33:19,Where’s the beef?,False,ahsia ray ray,Uninstalling because the one thing that I would love to order online or through Grubhub you don’t even have on as an option which is the prime rib. Another problem is that you can’t get rewards if you walk in and order. I just spent almost $100 on 5 individual prime rib meals for my family because there’s no prime rib family meal offered and no rewards for in store pirchase...it all has to be ordered online.,4,Boston Market
20,2019-04-02 01:26:49,Best Restaurant app,False,PartyLiteAsh28,"I just used this for the first time and felt ordering was a breeze, menu items and additional options were easy to find and within 1 min of pulling into spot my food was brought out. If you allow the app to view your location they know exactly when you pull in. Loved this app far better than Papa Johns, Pizza Hut and others in their category!",5,Boston Market
21,2020-05-28 19:38:37,Fabulous Food Fast! Lots of Yummy Veggies!,False,Lizarddo,"Boston Market app is so easy and flexible. I prefer restaurants with good apps so I get exactly what I want without stress. 

The food options are very diverse, so I can order often and get different foods. Everything is tasty. Most restaurants have few vegetable options, so I always order extra from Boston Market to have with other foods. 

I found using delivery service is much faster than I can go to Boston Market, order my food and immediately come back. 

The rewards build up quickly and have great options for redeeming them. I think I will take the $20 off today with my rewards!",5,Boston Market
22,2020-06-16 06:23:15,Latest update eliminated the ability to pay with Gift Card in App,False,LiMyles,"The app is easy to use, until it comes to the payment.  The app no longer offers the ability to use a gift card for payment.  Neither does it allow the order to be processed in the app with an option for payment to be made upon arrival in store. Its poor judgement to eliminate this functionality during a pandemic. We are ordering in the app, to eliminate the need to enter the building to keep employees and customers safe.  We will avoid Boston Market during this time.",1,Boston Market
23,2019-11-16 23:52:50,No contact after ordering; Store was closed,False,Laura68,"I used the app today to order an early thanksgiving meal from the Tustin store for my mother to enjoy with our family. I received a confirmation email and my credit card was charged. When we called a bit before we arrived, we were informed that they were closed because they didn’t have water and that they didn’t receive our order. We went to another Boston Market (Costa Mesa) who assisted us with our order. Our lunch was an hour late and we were still charged for the first order..... so this app wasn’t so useful for me today.",1,Boston Market
24,2019-09-20 14:27:08,Easy ordering and good rewards,False,Km_221,"This is one of the easier to use online ordering apps I’ve used, and I like that I can save my go-to orders and reorder them quickly. Boston Market’s rewards program is new, and I love it. I already got a free cookie, and I like that I can choose what reward I want rather than the restaurant deciding for me. (That’s my big issue with myPanera). I’m saving up for a free Pot Pie. :)",5,Boston Market
25,2020-06-27 22:56:52,Super Easy To Use,False,m4nb3ard,"Really surprised how well made the app is, the only thing that would be nice is a check in feature to notify the store that you have arrived for curbside pickup and an order status button (even if it was artificial just a timer would be nice). Otherwise the app was really excellent!",5,Boston Market
26,2020-10-04 16:01:23,What’s tasty to me,False,One finger slot,"The chicken is awesome. I haven’t tried many of the different sauces or meats, however the Mac and Cheese could use a little more work. The mixed veggies are awesome and the corn. The portion size is not to great for what is charged. The only reason I think people keep coming back is that the is healthy and flavorful. This is just my opinion",5,Boston Market
27,2020-05-01 23:57:05,Great app that works wonderfully,False,KiyoKarina,"Everything works under control, except the delivery driver didn’t ring the bell when he/she delivered the food on the doorstep. I didn’t even noticed whether he/she came to our doorstep. lol. But, I liked how he/she left the food on the doorstep to avoid the contact, due to COVID-19. Keep it up the good work guys!",5,Boston Market
28,2019-10-21 19:32:26,"New app horrible, not getting points, no support from BM",False,Gop4ck,"Not getting credit (reward points) for some purchases.  Have followed their instructions to log out, wait 5 minutes, log back in.  No points after waiting 4 days to log back in.  Attempted to contact BM through different avenues, absolutely no response.  Crickets!
Entered DOB incorrectly, app will not allow oneself to edit.  Reached out for help, they replied that they had edited, but have not, still the same and never received birthday reward.  
Huge headache, I’ll shop where I get rewards for my purchases and my feedback is heard.",1,Boston Market
29,2020-05-04 17:28:32,Easy & Quick!,False,NiCkYsKiNy,To say it simply it’s easy! App is easy to use & delivery is always quick! Points build up when you use the app which allows you to get free food & at a time when $$ is super tight a night of feeding my family goes a long way!,5,Boston Market
